sim_id,capacity_norm,seal_risk_norm,heterogeneity_norm,suitability_score,poro_mean,logk_mean,caprock_margin_peak,rank
468,0.9932177448563517,0.5508174977451271,0.3525099437559501,100.0,0.30803388357162476,1.877086551130029,0.6297297770118803,1
725,0.9848109561221922,0.3603413733712252,0.6174479728002663,99.99,0.30756211280822754,1.864676326977741,0.5611250804913622,2
874,0.9757509551237864,0.4868516350822496,0.42965886849952056,99.1,0.30705368518829346,1.8629386754809039,0.6066908863893182,3
848,0.8982704213803278,0.3347550283060742,0.5051396798660772,97.61,0.30270564556121826,1.7985484432348442,0.5519095242423374,4
322,0.7531871978893278,0.0,0.6715581339611432,96.63,0.294563889503479,1.6779900528514742,0.4313392049902816,5
150,1.0,0.5721394519660861,0.44512506705077165,96.09,0.308414489030838,1.8787569460694309,0.6374094072194009,6
991,0.690313658721552,0.09737025760904684,0.42671272596190807,94.51,0.29103556275367737,1.6333636833947158,0.4664095162712927,7
93,0.817238112333391,0.3077472196261925,0.4322810354900192,94.37,0.29815828800201416,1.7339142166241674,0.5421819926461445,8
999,0.9631306817517985,0.5991472606459678,0.3904358628548738,93.26,0.30634546279907227,1.852045157115509,0.6471369388155938,9
587,0.7401415399452577,0.22317013454972132,0.4129204549051664,92.68,0.29383179545402527,1.6745022731339412,0.5117194594896459,10
167,0.9889899214127229,0.6076760423343512,0.46460451403775604,92.45,0.3077966272830963,1.8721326135786542,0.650208790898602,11
194,0.8182837830230664,0.17697256707097636,0.7334017174041731,90.66,0.29821696877479553,1.728993386958924,0.4950802607066844,12
643,0.7462652721558448,0.37882040036272313,0.29032246602994183,89.21,0.2941754460334778,1.6773070821685012,0.5677807600045468,13
201,0.8579050898512057,0.44136479941087,0.48853337594148327,88.74,0.3004404306411743,1.7674247614520917,0.5903076752799408,14
871,0.8778429337833948,0.4015638181984128,0.6281337824128975,87.65,0.30155929923057556,1.778963684681071,0.5759723655592355,15
185,0.8663214377892323,0.44278626302560065,0.5784287842744918,86.17,0.3009127378463745,1.7716868535417152,0.5908196506271088,16
396,0.753836161618522,0.42572869964883314,0.3453704228090844,85.35,0.29460030794143677,1.6831740369908668,0.5846759464610922,17
301,0.8111488994701015,0.5124379801474006,0.37438006972203564,84.78,0.29781657457351685,1.73162723680608,0.615906442638343,18
503,0.8223443203990224,0.6105189695638127,0.25505273727575,84.78,0.29844483733177185,1.7426229583779707,0.6512327415929381,19
377,0.8906230582867145,0.6943853228329188,0.3135521264704065,84.29,0.30227649211883545,1.795929335170729,0.6814392870758528,20
462,0.7042924011764193,0.3077472196261925,0.43193638752514335,84.14,0.2918200194835663,1.6432955557400384,0.5421819926461445,21
856,0.9295051200158045,0.806680948396637,0.25249710962992283,83.92,0.30445846915245056,1.828349337415636,0.7218853395021283,22
501,0.8333889183335971,0.539445788827282,0.416172915299721,83.81,0.29906463623046875,1.749970219855989,0.6256339742345358,23
622,0.9564806622616439,0.7455580129632208,0.42682157916168606,83.37,0.30597227811813354,1.8470460900252055,0.6998703995739024,24
